"page_type","entity_id","canonical_path","canonical_url","brand","brand_variants","model","model_variants","category","product_name","product_id","article_oem","condition","primary_query","secondary_queries","search_intent","title","description","h1","intro_text","faq","indexable","robots","status","validation_errors"
"home","home","/","https://xn--d1abifc1bn.xn--p1ai/","","[]","","[]","","","","","","автозапчасти из Китая","[""доставка автозапчастей из Китая""]","commercial","KITRADE — автозапчасти из Китая с доставкой по России","Автозапчасти под заказ из Китая: новые и контрактные детали, проверка по VIN и доставка по России. Минимальная сумма заказа — 50 000 ₽.","Автозапчасти из Китая с доставкой по России","","[]","true","index,follow","active","[]"
"catalog","catalog","/catalog/","https://xn--d1abifc1bn.xn--p1ai/catalog/","","[]","","[]","","","","","","автозапчасти под заказ","[""каталог автозапчастей из Китая""]","commercial","Автозапчасти под заказ из Китая | KITRADE","Каталог автозапчастей под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка совместимости по VIN.","Автозапчасти под заказ. Проверим по VIN.","Детали под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Совместимость проверим по VIN.","[{""question"":""Как проверить совместимость детали?"",""answer"":""Совместимость подтверждается менеджером по VIN перед заказом.""}]","true","index,follow","active","[]"
"service","vin-selection","/podbor-zapchastey-po-vin/","https://xn--d1abifc1bn.xn--p1ai/podbor-zapchastey-po-vin/","","[]","","[]","","","","","","подбор запчастей по VIN","[""найти запчасть по VIN"",""проверка запчасти по VIN""]","commercial","Подбор запчастей по VIN под заказ | KITRADE","Подбор запчастей по VIN для автомобилей. Найдём подходящую деталь у поставщиков в Китае, проверим совместимость и отдельно рассчитаем доставку.","Подбор запчастей по VIN","Укажите VIN, марку, модель и нужную деталь. Менеджер проведёт поиск у поставщиков, проверит совместимость и подготовит расчёт.","[]","true","index,follow","active","[]"
"brand","b1003","/catalog/aito/","https://xn--d1abifc1bn.xn--p1ai/catalog/aito/","Aito","[""Aito""]","","[]","","","","","","запчасти Aito","[""автозапчасти Aito"",""детали Aito из Китая""]","commercial","Запчасти Aito из Китая — каталог | KITRADE","Запчасти Aito под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка по VIN.","Запчасти Aito под заказ из Китая","Запчасти Aito под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1004","/catalog/voyah/","https://xn--d1abifc1bn.xn--p1ai/catalog/voyah/","Voyah","[""Voyah"",""Voyah под заказ"",""Воях"",""Воях под заказ"",""Воя"",""Воя под заказ"",""Воя купить"",""Voyah купить"",""Voyah -оригинальный"",""Воях купить"",""Воях -оригинальный"",""Воя -оригинальный""]","","[]","","","","","","каталог запчастей Voyah","[""купить запчасти Воя"",""цены на запчасти Воя"",""купить запчасти Воях"",""каталог запчастей Воя"",""купить запчасти Voyah"",""заказать запчасти Воя"",""цены на запчасти Voyah"",""автозапчасти Voyah""]","commercial","Каталог запчастей Voyah (Воя) под заказ | KITRADE","Каталог запчастей Voyah (Воя) под заказ из Китая. Проверка совместимости по VIN, доставка рассчитывается отдельно.","Запчасти Voyah (Воя)","Запчасти Voyah под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1005","/catalog/geely/","https://xn--d1abifc1bn.xn--p1ai/catalog/geely/","Geely","[""Geely"",""Geely под заказ"",""Джили"",""Джили под заказ"",""Geely купить"",""Geely -оригинальный"",""Джили купить"",""Джили -оригинальный""]","","[]","","","","","","каталог запчастей Geely","[""цены на запчасти Geely"",""цены на запчасти Джили"",""магазин запчастей Geely"",""заказать запчасти Geely"",""каталог запчастей Geely"",""магазин запчастей Джили"",""заказать запчасти Джили"",""автозапчасти Geely""]","commercial","Каталог запчастей Geely (Джили) под заказ | KITRADE","Каталог запчастей Geely (Джили) под заказ из Китая. Проверка совместимости по VIN, доставка рассчитывается отдельно.","Запчасти Geely (Джили)","Запчасти Geely под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1006","/catalog/volkswagen/","https://xn--d1abifc1bn.xn--p1ai/catalog/volkswagen/","Volkswagen","[""Volkswagen""]","","[]","","","","","","запчасти Volkswagen","[""автозапчасти Volkswagen"",""детали Volkswagen из Китая""]","commercial","Запчасти Volkswagen из Китая — каталог | KITRADE","Запчасти Volkswagen под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка по VIN.","Запчасти Volkswagen под заказ из Китая","Запчасти Volkswagen под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1007","/catalog/changan/","https://xn--d1abifc1bn.xn--p1ai/catalog/changan/","Changan","[""Changan"",""Changan под заказ"",""Чанган"",""Чанган под заказ"",""Чанган купить"",""Changan купить"",""Changan -оригинальный"",""Чанган -оригинальный""]","","[]","","","","","","каталог запчастей Changan","[""купить запчасти Чанган"",""купить запчасти Changan"",""цены на запчасти Чанган"",""каталог запчастей Чанган"",""магазин запчастей Чанган"",""заказать запчасти Чанган"",""цены на запчасти Changan"",""автозапчасти Changan""]","commercial","Каталог запчастей Changan (Чанган) под заказ | KITRADE","Каталог запчастей Changan (Чанган) под заказ из Китая. Проверка совместимости по VIN, доставка рассчитывается отдельно.","Запчасти Changan (Чанган)","Запчасти Changan под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1008","/catalog/toyota/","https://xn--d1abifc1bn.xn--p1ai/catalog/toyota/","Toyota","[""Toyota""]","","[]","","","","","","запчасти Toyota","[""автозапчасти Toyota"",""детали Toyota из Китая""]","commercial","Запчасти Toyota из Китая — каталог | KITRADE","Запчасти Toyota под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка по VIN.","Запчасти Toyota под заказ из Китая","Запчасти Toyota под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1009","/catalog/baic/","https://xn--d1abifc1bn.xn--p1ai/catalog/baic/","BAIC","[""BAIC"",""BAIC под заказ"",""БАИК"",""БАИК под заказ"",""Байк"",""Байк под заказ"",""BAIC купить"",""BAIC -оригинальный"",""БАИК купить"",""БАИК -оригинальный"",""Байк купить"",""Байк -оригинальный""]","","[]","","","","","","каталог запчастей BAIC","[""купить запчасти BAIC"",""купить запчасти БАИК"",""каталог запчастей BAIC"",""каталог запчастей БАИК"",""магазин запчастей BAIC"",""магазин запчастей БАИК"",""заказать запчасти BAIC"",""автозапчасти BAIC""]","commercial","Каталог запчастей BAIC (БАИК) под заказ | KITRADE","Каталог запчастей BAIC (БАИК) под заказ из Китая. Проверка совместимости по VIN, доставка рассчитывается отдельно.","Запчасти BAIC (БАИК)","Запчасти BAIC под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1010","/catalog/livan/","https://xn--d1abifc1bn.xn--p1ai/catalog/livan/","Livan","[""Livan"",""Livan под заказ"",""Ливан"",""Ливан под заказ"",""Livan купить"",""Livan -оригинальный"",""Ливан купить"",""Ливан -оригинальный""]","","[]","","","","","","каталог запчастей Livan","[""купить запчасти Ливан"",""купить запчасти Livan"",""каталог запчастей Livan"",""каталог запчастей Ливан"",""заказать запчасти Livan"",""заказать запчасти Ливан"",""магазин запчастей Livan"",""автозапчасти Livan""]","commercial","Каталог запчастей Livan (Ливан) под заказ | KITRADE","Каталог запчастей Livan (Ливан) под заказ из Китая. Проверка совместимости по VIN, доставка рассчитывается отдельно.","Запчасти Livan (Ливан)","Запчасти Livan под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1011","/catalog/xiaomi/","https://xn--d1abifc1bn.xn--p1ai/catalog/xiaomi/","Xiaomi","[""Xiaomi""]","","[]","","","","","","запчасти Xiaomi","[""автозапчасти Xiaomi"",""детали Xiaomi из Китая""]","commercial","Запчасти Xiaomi из Китая — каталог | KITRADE","Запчасти Xiaomi под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка по VIN.","Запчасти Xiaomi под заказ из Китая","Запчасти Xiaomi под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
"brand","b1012","/catalog/nissan/","https://xn--d1abifc1bn.xn--p1ai/catalog/nissan/","Nissan","[""Nissan""]","","[]","","","","","","запчасти Nissan","[""автозапчасти Nissan"",""детали Nissan из Китая""]","commercial","Запчасти Nissan из Китая — каталог | KITRADE","Запчасти Nissan под заказ из Китая. Цена указана за деталь, доставка рассчитывается отдельно. Проверка по VIN.","Запчасти Nissan под заказ из Китая","Запчасти Nissan под заказ из Китая. Цена указана за деталь; доставка рассчитывается отдельно. Проверим по VIN.","[]","true","index,follow","active","[]"
